,player_name,age,player_height,player_weight,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,salary_cap,africa,asia,australia_oceania,europe,north_america,south_america,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS,experience,salary
56,Shaun Livingston,20.0,200.66,82.553744,1,4,61,5.8,3.0,4.5,-0.3,0.032,0.105,0.15,0.46,0.283,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3254880.0
57,Sharrod Ford,24.0,205.74,106.59412,3,61,3,1.3,1.0,0.0,-24.7,0.111,0.133,0.162,0.667,0.0,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,116711.0
58,Shareef Abdur-Rahim,29.0,205.74,111.13004,1,3,72,12.3,5.0,2.1,3.9,0.065,0.152,0.201,0.588,0.13,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,5000000.0
59,Shaquille O'Neal,34.0,215.9,147.4174,1,1,59,20.0,9.2,1.9,6.9,0.121,0.2319999999999999,0.299,0.586,0.111,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20000000.0
60,Shane Battier,27.0,203.2,99.79024,1,6,81,10.1,5.3,1.7,6.4,0.071,0.11,0.1369999999999999,0.574,0.081,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4903000.0
63,Jarron Collins,27.0,210.82,115.66596,2,52,79,5.3,4.2,1.2,-1.0,0.093,0.145,0.119,0.551,0.096,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1700000.0
64,Von Wafer,20.0,195.58,95.25432,2,39,16,1.3,0.5,0.3,-11.6,0.062,0.045,0.268,0.241,0.114,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,398762.0
65,Jason Maxiell,23.0,200.66,117.93392,1,26,26,2.3,1.1,0.1,-24.6,0.088,0.1169999999999999,0.228,0.414,0.031,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,905640.0
66,Jason Kidd,33.0,193.04,95.25432,1,2,80,13.3,7.3,8.4,4.3,0.033,0.196,0.188,0.526,0.369,2006,71839551,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16440000.0
67,Jason Kapono,25.0,203.2,97.52228,2,31,51,4.1,1.4,0.7,-6.6,0.02,0.102,0.144,0.54,0.094,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1100000.0
68,Jason Hart,28.0,190.5,83.91452,2,49,66,3.3,1.1,1.1,-1.9,0.017,0.084,0.168,0.444,0.152,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1540000.0
69,Jason Collins,27.0,213.36,115.66596,1,18,71,3.6,4.8,1.0,4.4,0.057,0.156,0.09,0.425,0.0559999999999999,2006,71839551,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5500000.0
70,Jarvis Hayes,24.0,203.2,99.79024,1,10,21,9.3,3.6,1.3,-0.4,0.039,0.13,0.185,0.499,0.087,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2011080.0
71,Jarrett Jack,22.0,190.5,91.625584,1,22,79,6.7,2.0,2.8,-12.8,0.013,0.107,0.179,0.528,0.249,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1058640.0
72,Jared Jeffries,24.0,210.82,108.86208,1,11,77,6.4,4.9,1.9,2.4,0.094,0.128,0.136,0.5,0.114,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2433824.0
73,Jannero Pargo,26.0,185.42,79.3786,3,61,57,4.8,1.1,1.6,-0.1,0.0139999999999999,0.091,0.248,0.455,0.266,2006,71839551,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,895248.0
75,James Singleton,24.0,203.2,97.52228,3,61,59,3.4,3.3,0.5,-1.1,0.102,0.21,0.125,0.5870000000000001,0.059,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625000.0
76,James Posey,29.0,203.2,98.429464,1,18,67,7.2,4.8,1.3,6.3,0.021,0.1689999999999999,0.1159999999999999,0.5720000000000001,0.066,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5900400.0
77,James Jones,25.0,203.2,99.79024,2,49,75,9.3,3.4,0.8,6.7,0.0279999999999999,0.131,0.17,0.551,0.044,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2400000.0
78,Jameer Nelson,24.0,182.88,86.18248,1,20,62,14.6,2.9,4.9,2.2,0.0279999999999999,0.0969999999999999,0.249,0.5670000000000001,0.297,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1189200.0
79,Jamal Sampson,23.0,210.82,106.59412,2,46,12,0.8,1.5,0.4,4.9,0.135,0.342,0.089,0.635,0.238,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,719373.0
80,Jamal Crawford,26.0,195.58,86.18248,1,8,79,14.3,3.1,3.8,-7.0,0.017,0.105,0.215,0.544,0.212,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6480000.0
81,Jamaal Tinsley,28.0,190.5,83.91452,1,27,42,9.3,3.2,5.0,-0.5,0.037,0.096,0.222,0.4579999999999999,0.336,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5400000.0
82,Jamaal Magloire,28.0,210.82,117.480328,1,19,82,9.2,9.5,0.7,-2.4,0.107,0.272,0.175,0.494,0.036,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8533333.0
84,Jake Voskuhl,28.0,210.82,115.66596,2,33,51,5.3,3.6,0.8,-2.3,0.0819999999999999,0.186,0.174,0.47,0.08,2006,71839551,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1937500.0
85,Jake Tsakalidis,27.0,218.44,131.54168,1,25,51,5.0,4.2,0.3,9.7,0.142,0.215,0.163,0.632,0.03,2006,71839551,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2900000.0
86,Jacque Vaughn,31.0,185.42,86.18248,1,27,80,3.4,1.1,1.5,-6.1,0.015,0.073,0.13,0.488,0.182,2006,71839551,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1094550.0
87,Jackson Vroman,25.0,208.28,99.79024,2,31,41,1.8,2.1,0.3,2.0,0.099,0.161,0.123,0.428,0.042,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,682051.0
88,Jackie Butler,21.0,208.28,117.93392,3,61,55,5.3,3.3,0.5,6.7,0.121,0.188,0.193,0.5870000000000001,0.0559999999999999,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,398762.0
